Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"NOx emissions, latest year",% change since 1990,"Emissions, pc last year"
752.0,Sweden,277.11,282.39,270.7,259.06,263.2,252.1,247.0,236.32,226.21,218.71,214.19,204.17,196.77,192.25,187.74,183.22,179.82,173.59,165.4,153.14,157.0,149.24,143.26,140.56,139.14,134.92,132.39,128.83,126.86,2018,126.86,-54.22,12.72
756.0,Switzerland,144.15,141.0,134.22,122.21,119.67,115.34,109.61,105.15,104.55,103.95,101.56,98.32,93.66,92.7,92.23,92.97,91.4,90.1,89.86,85.08,84.34,80.23,80.74,80.77,76.95,72.56,70.69,67.13,64.29,2018,64.29,-55.4,7.54
762.0,Tajikistan,74.0,76.0,53.3,42.0,23.0,17.0,12.0,15.0,15.0,12.0,9.0,12.0,12.0,12.0,12.0,11.0,11.0,7.0,8.0,7.0,6.0,,,,,,,,,2010,6.0,-91.89,0.8
764.0,Thailand,,,,,271.85,,,,,,,,,,,,,,,,,,,1346.9,,,,,,2013,1346.9,,19.77
626.0,Timor-Leste,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,2010,1.82,,1.66
768.0,Togo,,,15.0,16.0,16.6,15.36,19.9,19.8,19.8,,17.81,,,,,19.68,,,,,,,,,,,,,,2005,19.68,,3.51
776.0,Tonga,,,,,0.49,,,,,,0.59,,,,,,0.79,,,,,,,,,,,,,2006,0.79,,7.76
780.0,Trinidad and Tobago,36.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,36.56,0.0,29.94
788.0,Tunisia,,,,,72.62,,,,,,94.87,,,,,,,,,,,,,,,,,,,2000,94.87,,9.77
792.0,Turkey,254.37,272.83,298.33,294.84,1088.18,1041.27,1191.12,1404.92,1544.99,1391.0,1490.71,1387.54,1070.24,966.4,1368.3,1300.93,1269.72,1215.82,1131.31,1017.3,955.74,960.06,835.53,811.89,800.18,800.56,804.87,777.19,782.8,2018,782.8,207.74,9.51
795.0,Turkmenistan,,,,,48.83,,,,,,115.95,,,,90.24,,,,,,169.59,,,,,,,,,2010,169.59,,33.34
798.0,Tuvalu,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,2014,0.1,,8.78
800.0,Uganda,,,,,1200.32,,,,,,71.77,,,,,,,,,,,,,,,,,,,2000,71.77,,3.03
804.0,Ukraine,2273.62,1907.36,1620.51,1384.41,1206.0,1091.23,1063.83,967.32,987.17,925.05,856.58,863.08,866.6,885.97,899.21,895.75,960.72,917.68,913.09,756.25,773.73,809.72,775.19,771.21,673.81,561.46,580.29,572.57,590.11,2018,590.11,-74.05,13.34
784.0,United Arab Emirates,,,,,163.0,,,,,,248.0,,,,,332.0,,,,,,,,,,,,,,2005,332.0,,72.36
826.0,United Kingdom of Great Britain and Northern Ireland,3085.66,2991.77,2930.35,2761.63,2659.25,2533.69,2426.43,2235.18,2172.07,2055.41,1979.0,1941.32,1838.6,1805.96,1756.15,1741.4,1681.48,1618.27,1455.88,1262.6,1234.61,1148.04,1171.88,1113.43,1042.98,1007.06,907.08,881.09,833.3,2018,833.3,-72.99,12.41
834.0,United Republic of Tanzania,156.68,,,,161.34,,,,,,,,,,,,,,,,,,,,,,,,,1994,161.34,2.97,5.6
840.0,United States of America,21710.71,21386.41,21458.95,21546.5,21552.4,21206.88,21060.2,20977.04,20683.45,19438.06,19118.9,18219.95,20282.49,19156.55,18015.93,17189.82,16276.84,15366.05,14308.33,13305.14,12492.46,12260.56,11719.7,11178.57,10628.41,9952.48,9465.58,8983.66,8583.1,2018,8583.1,-60.47,26.24
858.0,Uruguay,44.52,,,,47.93,,,,46.38,,33.84,,38.26,,41.54,,45.4,,56.6,,52.5,,60.3,,52.9,,57.0,57.3,,2017,57.3,28.71,16.67
860.0,Uzbekistan,411.79,379.2,346.16,319.63,294.83,285.77,279.52,284.63,273.75,280.77,286.19,285.41,285.39,267.81,269.75,252.68,258.52,251.3,265.43,260.11,252.99,261.42,275.62,,,,,,,2012,275.62,-33.07,9.36
548.0,Vanuatu,,,,,0.08,,,,,,0.44,,,,,,,,,,,,,,,,,,,2000,0.44,,2.38
862.0,Venezuela (Bolivarian Republic of),,,,,,,,,,394.79,,,,,,,,,,,,,,,,,,,,1999,394.79,,16.63
704.0,Viet Nam,,,,,179.29,,,,,,277.76,,,,,,,,,,,,,50.36,,,,,,2013,50.36,,0.55
