Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
470.0,Malta,2570.37,2424.28,2493.29,3079.73,2864.0,2660.74,2783.21,2798.73,2765.98,2853.1,2789.77,2917.46,2969.38,3250.05,3139.28,2972.18,3032.32,3130.48,3078.43,2899.98,2984.08,2992.34,3207.53,2894.18,2933.25,2255.29,1944.05,2156.18,2186.11,2018,2186.11,-14.95,4.98
584.0,Marshall Islands,,,,,,,,,,,122.53,,,,,135.09,,,,,169.82,,,,,,,,,2010,169.82,,3.01
478.0,Mauritania,,,,,,4329.86,,,,,6943.85,,,,,,,,,,,,,,,,,,,2000,6943.85,,2.64
480.0,Mauritius,,,,,,3505.57,,,,,3996.22,4232.05,4148.89,4329.32,4319.23,4342.16,5488.04,,,,,,,6591.27,,,,,,2013,6591.27,,5.25
484.0,Mexico,404179.37,416948.34,417845.81,424326.64,449255.55,437655.32,458823.48,480816.27,504742.35,493564.82,525638.24,517097.89,513514.59,523480.21,552855.52,561540.1,581689.21,610557.23,643223.27,623101.9,638605.89,650407.17,647100.66,605887.32,,,,,,2013,605887.32,49.91,5.1
583.0,Micronesia (Federated States of),,,,,246.01,,,,,,173.93,,,,,,,,,,,,,,,,,,,2000,173.93,,1.62
492.0,Monaco,102.74,103.56,109.17,108.13,108.87,105.59,109.91,108.02,107.24,108.2,109.07,106.94,107.24,104.54,100.09,98.69,92.72,92.63,93.36,91.05,87.89,85.57,87.56,90.29,84.81,85.76,86.53,85.52,86.93,2018,86.93,-15.39,2.25
496.0,Mongolia,19317.4,17680.3,16005.3,15223.6,14345.0,14251.5,15299.2,15925.3,15929.7,,,,,,,,17710.95,,,,,,,,,,,,,2006,17710.95,-8.32,6.92
499.0,Montenegro,5706.3,6540.17,4564.26,3329.86,2215.3,1406.29,4431.93,4303.56,4703.4,4760.97,5605.98,5196.93,5689.96,4856.03,4842.96,4510.42,4643.92,4655.01,4365.87,3084.51,4024.82,3863.59,,,,,,,,2011,3863.59,-32.29,6.18
504.0,Morocco,,,,,44394.0,,,,,,59699.69,,,,71387.7,74681.6,76369.4,,85287.9,,100516.44,,96108.05,,,,,,,2012,96108.05,,2.89
508.0,Mozambique,6783.15,,,,8223.89,,,,,,,,,,,,,,,,,,,,,,,,,1994,8223.89,21.24,0.55
104.0,Myanmar,,,,,,,,,,,33995.69,34125.14,34774.81,36134.45,37542.13,38374.9,,,,,,,,,,,,,,2005,38374.9,,0.78
516.0,Namibia,,,,,5602.09,,,,,,9085.8,,,,,,,,,,,,,,,,,,,2000,9085.8,,5.06
520.0,Nauru,,,,,35.9,,,,,,19.29,,,41.5,,,,22.6,,,42.19,,,,,,,,,2010,42.19,,4.21
524.0,Nepal,,,,,31188.87,,,,,,26031.33,,,,,,,,,,,,,,,,,,,2000,26031.33,,1.09
528.0,Netherlands,220740.87,228385.56,229110.63,229867.6,230750.53,230937.8,241763.55,233603.08,234161.15,220828.43,219239.07,219714.04,217608.55,218291.27,219893.84,214226.59,209176.56,207676.79,207040.28,201382.08,213281.34,199175.46,195272.03,194878.14,187184.61,195422.37,194991.61,192876.47,187756.39,2018,187756.39,-14.94,11.01
554.0,New Zealand,63590.93,64453.52,65668.78,65433.4,66679.18,67426.24,69549.34,72259.28,70221.38,72059.93,74103.08,77105.36,77474.96,79643.61,79294.83,81274.42,81455.21,79415.58,79526.33,76771.18,77267.81,76975.49,79401.58,78804.91,79449.84,79493.71,77623.31,79640.86,78862.29,2018,78862.29,24.02,16.63
558.0,Nicaragua,,,,,7651.84,,,,,,11980.64,,,,,,,,,,,,,,,,,,,2000,11980.64,,2.36
562.0,Niger,4852.38,,,,,,,,,,13627.0,,,,,,,,15520.0,,,,,,,,,,,2008,15520.0,219.84,1.02
566.0,Nigeria,,,,,242626.4,,,,,,212444.0,,,,,,,,,,,,,,,,,,,2000,212444.0,,1.74
570.0,Niue,,,,,4.42,,,,,,4.85,,,,,5.57,6.74,8.15,4.87,26.08,,,,,,,,,,2009,26.08,,16.08
807.0,North Macedonia,13257.34,12496.89,11880.3,12289.73,12050.82,12076.94,11612.05,12268.55,12900.85,12435.15,12092.05,12121.15,12232.14,12284.35,12417.18,13034.86,11938.33,12404.59,12484.65,11491.3,,,,,,,,,,2009,11491.3,-13.32,5.55
578.0,Norway,51459.02,49199.53,47536.73,49405.88,51267.85,51620.17,54604.38,54596.46,54758.82,55717.7,55114.75,56348.39,55289.87,55795.67,56190.76,55403.47,55355.14,57008.7,55587.36,53179.2,55468.97,54643.09,54121.12,53969.36,53930.25,54353.97,53472.21,52386.53,52022.4,2018,52022.4,1.09,9.75
